sep=;
id;title_ru;description_ru;difficulty
20;Лучшая прибыль от покупки и продажи акции;"Дано целое число n и последовательность цен акции по дням. Можно один раз купить и один раз продать акцию (продажа должна происходить позже покупки). Требуется найти максимальную возможную прибыль. Если получить положительную прибыль нельзя, ответ равен 0. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — максимальную прибыль.";Easy
21;Разворот строки;"Дана строка s. Нужно получить новую строку, в которой символы идут в обратном порядке, по сравнению с исходной строкой. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите получившуюся строку без дополнительных символов.";Easy
22;Проверка предложения на панграмму;"Дано предложение s, состоящее из строчных английских букв и пробелов. Предложение называется панграммой, если в нём встречаются все 26 букв английского алфавита хотя бы один раз. Требуется проверить, является ли s панграммой. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите YES, если предложение является панграммой, и NO — иначе.";Easy
23;Наибольший общий префикс;"Задано целое число m и m строк. Требуется найти самую длинную строку, которая является префиксом (началом) каждой из данных строк. Если общего префикса нет, нужно вернуть пустую строку. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите найденный общий префикс как строку (возможно пустую).";Easy
24;Подсчёт хороших пар;"Дано целое число n и последовательность из n целых чисел. Пара индексов (i, j) называется хорошей, если i < j и a_i = a_j. Требуется посчитать общее количество хороших пар. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — количество хороших пар.";Easy
25;Количество шагов до нуля;"Дано целое число num. Если число чётное, можно разделить его на 2, если нечётное — вычесть 1. Требуется посчитать, сколько шагов нужно, чтобы превратить num в 0, последовательно применяя эти операции. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — минимальное количество шагов.";Easy
26;Удаление соседних дубликатов в строке;"Дана строка s. Пока в строке есть две одинаковые соседние буквы, их можно удалить. Операция выполняется неоднократно, пока возможно. Требуется вывести строку после всех возможных удалений. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите итоговую строку после всех удалений.";Easy
27;Максимальное число единиц подряд;"Дано целое число n и последовательность из n чисел, каждое из которых равно 0 или 1. Требуется найти максимальную длину подотрезка, состоящего только из единиц (подряд идущих 1). Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — длину максимальной последовательности единиц подряд.";Easy
28;Проверка отсортированного и повёрнутого массива;"Дано целое число n и последовательность из n целых чисел. Нужно определить, можно ли получить эту последовательность циклическим сдвигом некоторой последовательности, отсортированной по неубыванию. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите YES, если такую отсортированную последовательность можно найти, и NO — иначе.";Easy
29;Подсчёт элементов по правилу;"Дан набор объектов, каждый описывается тремя строками: type, color и name. Также даны строки ruleKey (принимает значения 'type', 'color' или 'name') и ruleValue. Объект считается подходящим, если его поле, соответствующее ruleKey, равно ruleValue. Требуется посчитать количество подходящих объектов. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — количество подходящих объектов.";Easy
30;Экранирование IP-адреса;"Дан корректный IPv4-адрес в виде строки (четыре числа от 0 до 255, разделённые точками). Нужно заменить каждую точку '.' на подстроку '[.]'. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите получившуюся строку — экранированный IP-адрес.";Easy
31;Перемешивание последовательности;"Дано число n и последовательность из 2n чисел: первые n элементов — x_1 … x_n и следующие n элементов — y_1 … y_n. Требуется построить новую последовательность x_1, y_1, x_2, y_2, …, x_n, y_n. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: ответом является один список длины 2n; сначала выведите k = 2n, затем k элементов новой последовательности через пробел.";Easy
32;Построение перестановки по индексу;"Дана перестановка чисел от 0 до n-1 в виде последовательности p_0 … p_{n-1}. Требуется построить новую последовательность q, где q_i = p_{p_i} для каждого i. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: ответом является один список длины n; сначала выведите k = n, затем k чисел q_0 … q_{n-1} через пробел.";Easy
33;Конкатенация последовательности;"Дана последовательность из n целых чисел a_1 … a_n. Нужно построить новую последовательность длины 2n, которая состоит из исходной последовательности, за которой сразу следует эта же последовательность (a_1 … a_n, a_1 … a_n). Формат ввода задаётся отдельно в системе тестирования. Формат вывода: ответом является один список длины 2n; сначала выведите k = 2n, затем k элементов через пробел.";Easy
34;Максимальное произведение трёх чисел;"Дано целое число n и последовательность из n целых чисел. Требуется выбрать три числа так, чтобы их произведение было максимально возможным. Нужно учитывать, что отрицательные числа могут давать положительное произведение. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — максимальное произведение трёх чисел.";Medium
35;Третье максимальное число;"Дано целое число n и последовательность из n целых чисел. Требуется найти третье по величине уникальное значение. Если различных значений меньше трёх, нужно вывести максимальное из них. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — искомое значение.";Medium
36;Проверка кругового предложения;"Даны m слов, образующих предложение. Предложение называется круговым, если последняя буква каждого слова совпадает с первой буквой следующего слова, а последняя буква последнего слова совпадает с первой буквой первого слова. Требуется определить, является ли предложение круговым. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите YES, если предложение круговое, и NO — иначе.";Medium
37;Максимальное число слов в предложении;"Даны k предложений (каждое — строка с словами, разделёнными пробелами). Требуется найти предложение, содержащее наибольшее количество слов, и вывести это количество. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — максимальное количество слов среди всех предложений.";Easy
38;Строка как префикс массива строк;"Дана строка s и массив строк words. Строка s считается префиксной по отношению к words, если её можно получить конкатенацией первых нескольких строк массива в заданном порядке. Требуется определить, выполняется ли это условие. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите YES, если s можно собрать из префикса массива words, и NO — иначе.";Easy
39;Совпадение символов в бинарных строках;"Даны две бинарные строки s и t одинаковой длины, состоящие только из символов '0' и '1'. Нужно посчитать количество позиций, в которых символы в строках совпадают. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — количество совпадающих позиций.";Easy
40;Цифровой корень числа;"Дано неотрицательное целое число num. Необходимо повторять операцию замены числа суммой его десятичных цифр до тех пор, пока результат не станет однозначным числом (от 0 до 9). Требуется вывести получившийся результат. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — цифровой корень.";Easy
41;Подсчёт частоты букв;"Дана строка s из строчных английских букв. Требуется для каждой буквы алфавита (от 'a' до 'z') посчитать, сколько раз она встречается в строке. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: ответом является один список длины 26; сначала выведите k = 26, затем 26 целых чисел — количества вхождений букв 'a', 'b', …, 'z' в строке.";Easy
42;Максимальная разность при ограничении;"Дана последовательность из n целых чисел. Нужно найти максимальное значение разности a_j − a_i для индексов j > i при условии, что a_j > a_i. Если ни одной пары, удовлетворяющей условию, нет, нужно вывести -1. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — максимальную разность или -1.";Easy
43;Возрастающие числа в предложении;"Дано предложение s, состоящее из слов и целых чисел, разделённых пробелами. Нужно извлечь все числа в порядке появления и проверить, образуют ли они строго возрастающую последовательность. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите YES, если все числа идут по строго возрастанию, и NO — иначе.";Easy
44;Ограничение предложения числом слов;"Дано предложение s и целое число k. Предложение состоит из слов, разделённых одним пробелом. Требуется оставить только первые k слов и отбросить остальные. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите получившуюся строку, содержащую только первые k слов.";Easy
45;Числа строго внутри диапазона;"Дано целое число n и последовательность из n целых чисел. Требуется найти минимальный и максимальный элементы и посчитать, сколько элементов строго больше минимума и строго меньше максимума. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — количество элементов, лежащих строго внутри диапазона между минимумом и максимумом.";Easy
46;Максимальная сумма возрастающего подотрезка;"Дано целое число n и последовательность из n целых чисел. Рассматриваются только непрерывные подотрезки, в которых каждый следующий элемент строго больше предыдущего. Требуется найти такой подотрезок с максимальной суммой элементов. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — максимальную сумму возрастающего подотрезка.";Easy
47;Знак произведения последовательности;"Дано целое число n и последовательность из n целых чисел. Требуется определить знак произведения всех элементов: 1, если произведение положительно, -1, если отрицательно, и 0, если хотя бы один элемент равен нулю. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно число из множества {-1, 0, 1}.";Easy
48;k-я уникальная строка;"Дано целое число m и m строк. Строка называется уникальной, если она встречается среди данных строк ровно один раз. Требуется найти k-ю по порядку (по индексу ввода) уникальную строку. Если уникальных строк меньше k, нужно вывести пустую строку. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите найденную строку или пустую строку, если ответа нет.";Easy
49;Похожие половины строки;"Дана строка s чётной длины. Строку делят на две равные половины. Требуется проверить, содержат ли обе половины одинаковое количество гласных букв (a, e, i, o, u и их заглавные варианты). Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите YES, если количество гласных в обеих половинах совпадает, и NO — иначе.";Easy
50;Подсчёт слов с заданным префиксом;"Дан набор из m слов и строка pref. Требуется посчитать, сколько слов начинаются с префикса pref. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — количество слов с указанным префиксом.";Easy
51;Длина наибольшей подстроки без повторов;"Дана строка s. Требуется найти длину самой длинной подстроки, в которой каждая буква встречается не более одного раза (все символы различны). Подстрока должна быть непрерывным фрагментом строки. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — длину такой подстроки.";Medium
52;Пара с максимальной суммой не больше target;"Дано целое число n, последовательность из n целых чисел и число target. Нужно найти пару индексов i < j, для которой сумма a_i + a_j максимально возможна, но не превосходит target. Если подходящей пары нет, нужно вывести -1 -1 или иное оговорённое значение. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: ответом является один список из двух чисел; сначала выведите k = 2, затем два целых числа — найденные индексы или специальное значение по условию тестов.";Medium
53;Сумма трёх чисел в ноль (3Sum);"Дано целое число n и последовательность из n целых чисел. Требуется найти все уникальные тройки чисел (a_i, a_j, a_k), такие что a_i + a_j + a_k = 0 и индексы различны. Две тройки считаются одинаковыми, если состоят из одинаковых значений, независимо от порядка. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: ответом является набор списков; сначала выведите целое число m — количество найденных троек, затем для каждой тройки на отдельной строке: число 3 и три целых значения тройки через пробел.";Medium
54;Произведение всех элементов, кроме текущего;"Дано целое число n и последовательность из n целых чисел. Для каждого индекса i нужно вычислить произведение всех элементов, кроме a_i, не используя деление. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: ответом является один список длины n; сначала выведите k = n, затем k целых чисел — искомые произведения в порядке индексов.";Medium
55;Спиральный обход матрицы;"Дана прямоугольная матрица размера m × n. Нужно обойти её элементы по спирали по часовой стрелке, начиная с верхнего левого угла, и вывести последовательность посещённых элементов. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: ответом является один список; сначала выведите целое число k — количество элементов (m·n), затем k элементов в порядке обхода.";Medium
56;Поворот квадратной матрицы;"Дана квадратная матрица размера n × n. Требуется повернуть её на 90 градусов по часовой стрелке. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: ответом является набор списков — строки результирующей матрицы; сначала выведите целое число m = n — количество строк, затем для каждой строки на отдельной строке выведите её длину k_i = n и n элементов через пробел.";Medium
57;Обнуление строк и столбцов в матрице;"Дана матрица размера m × n. Если какой-либо элемент равен 0, необходимо сделать всю строку и весь столбец, содержащие этот элемент, равными 0 (учитывая все исходные нули одновременно). Формат ввода задаётся отдельно в системе тестирования. Формат вывода: ответом является набор списков — строки результирующей матрицы; сначала выведите целое число m — количество строк, затем для каждой строки: её длину k_i = n и n элементов через пробел.";Medium
58;Поиск в повёрнутом отсортированном массиве;"Дана отсортированная по возрастанию последовательность, циклически повёрнутая на неизвестное число позиций, и число target. Требуется найти индекс элемента, равного target, или вывести -1, если элемента нет. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — индекс найденного элемента или -1.";Medium
59;Наибольшая палиндромная подстрока;"Дана строка s. Требуется найти самую длинную подстроку, которая является палиндромом (читается одинаково слева направо и справа налево). Если подходящих несколько, можно вывести любую максимальной длины. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите найденную палиндромную подстроку.";Medium
60;Контейнер с максимальной водой;"Дана последовательность неотрицательных целых чисел h_i, представляющих высоты вертикальных линий. Выбирая любые две линии и опуская между ними вертикали, образуется «контейнер» с водой, площадь которого равна минимальной из двух высот, умноженной на расстояние между линиями. Требуется найти максимальную возможную площадь. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — максимальную площадь.";Medium
61;Количество подмассивов с заданной суммой;"Дано целое число n, последовательность из n целых чисел и число k. Нужно посчитать количество непрерывных подотрезков (подмассивов), сумма элементов в которых равна k. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — количество таких подмассивов.";Medium
62;k наиболее часто встречающихся элементов;"Дано целое число n, последовательность из n целых чисел и целое число k. Нужно найти k различных значений, которые встречаются в последовательности чаще всего. Если возможны несколько корректных вариантов, можно вывести любой. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: ответом является один список длины k; сначала выведите k, затем k выбранных значений через пробел в любом порядке.";Medium
63;k-й по величине элемент;"Дано целое число n, последовательность из n целых чисел и целое число k. Требуется найти элемент, который является k-м по величине, если отсортировать последовательность по убыванию (1-й по величине — максимум). Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — k-й по величине элемент.";Medium
64;Группировка анаграмм;"Даны m строк. Нужно сгруппировать их так, чтобы каждая группа содержала строки, являющиеся анаграммами друг друга (состоят из одинаковых букв с одинаковыми кратностями). Формат ввода задаётся отдельно в системе тестирования. Формат вывода: ответом является набор списков строк; сначала выведите целое число m_g — количество групп, затем для каждой группы на отдельной строке: целое k_i — размер группы и k_i строк через пробел.";Medium
65;Минимальная длина подмассива с суммой не меньше target;"Дано целое число n, последовательность из n положительных целых чисел и целое число target. Требуется найти минимальную длину непрерывного подотрезка, сумма элементов которого не меньше target. Если такого подотрезка не существует, нужно вывести 0. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — минимальную длину подотрезка или 0.";Medium
66;Вставка интервала;"Дан набор непересекающихся интервалов [l_i, r_i], отсортированных по левой границе, и один новый интервал [L, R]. Нужно добавить новый интервал в набор и объединить все пересекающиеся интервалы, сохраняя сортировку по левой границе. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: ответом является набор интервалов; сначала выведите целое число m — количество интервалов после объединения, затем для каждого интервала на отдельной строке: число 2 и два конца интервала через пробел.";Medium
67;Слияние перекрывающихся интервалов;"Дан набор интервалов [l_i, r_i], которые могут пересекаться или содержать друг друга. Требуется объединить все пересекающиеся интервалы и получить набор непересекающихся интервалов, покрывающих те же точки. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: ответом является набор интервалов; сначала выведите целое число m — количество интервалов после слияния, затем для каждого интервала: число 2 и его границы через пробел.";Medium
68;Длина наибольшей возрастающей подпоследовательности;"Дано целое число n и последовательность из n целых чисел. Требуется найти длину максимально возможной строго возрастающей подпоследовательности (элементы не обязаны идти подряд). Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — длину такой подпоследовательности.";Medium
69;Размен монет (минимум монет);"Дан набор номиналов монет и целое число amount. Можно использовать неограниченное количество монет каждого номинала. Нужно определить минимальное количество монет, необходимое для набора суммы amount, или вывести -1, если это невозможно. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — минимальное количество монет или -1.";Medium
70;Количество островов;"Дана прямоугольная карта, где 1 обозначает сушу, а 0 — воду. Остров — это набор клеток с 1, соединённых по вертикали или горизонтали. Требуется посчитать количество островов. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — количество островов.";Medium
71;Гниющие апельсины;"Дана решётка, где 0 — пустая клетка, 1 — свежий апельсин, 2 — гнилой апельсин. Каждый шаг все свежие апельсины, соседние по стороне с гнилыми, сами становятся гнилыми. Требуется определить, за сколько шагов все апельсины сгниют, либо вывести -1, если есть апельсины, которые никогда не сгниют. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — минимальное количество шагов или -1.";Medium
72;Обход бинарного дерева по уровням;"Дано бинарное дерево. Требуется вывести значения узлов по уровням: сначала корень, затем все узлы второго уровня слева направо и так далее. Формат ввода (представление дерева) задаётся отдельно в системе тестирования. Формат вывода: ответом является набор списков; сначала выведите целое число m — количество уровней, затем для каждого уровня на отдельной строке: k_i — количество узлов на уровне и k_i значений через пробел.";Medium
73;Зигзагообразный обход по уровням;"Дано бинарное дерево. При зигзагообразном обходе уровни чередуются: первый обходится слева направо, второй — справа налево, третий снова слева направо и т.д. Требуется вывести значения узлов по уровням в этом порядке. Формат ввода задаётся отдельно. Формат вывода: ответом является набор списков; сначала выведите целое m — число уровней, затем для каждого уровня: k_i и k_i значений через пробел в порядке обхода.";Medium
74;Нижний общий предок в дереве поиска;"Дано бинарное дерево поиска и два значения p и q, которые точно присутствуют в дереве. Нижний общий предок — это узел на минимальной высоте, являющийся предком обоих значений. Используя свойства BST, требуется найти значение узла-нижнего общего предка. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — значение найденного узла.";Medium
75;Проверка корректности бинарного дерева поиска;"Дано бинарное дерево. Нужно проверить, является ли оно корректным бинарным деревом поиска: для каждого узла все значения в левом поддереве строго меньше его значения, а в правом — строго больше, и это выполняется рекурсивно. Формат ввода задаётся отдельно. Формат вывода: выведите YES, если дерево является корректным BST, и NO — иначе.";Medium
76;Выпрямление бинарного дерева в список;"Дано бинарное дерево. Требуется преобразовать его в «список» по правым указателям в порядке обхода в глубину (preorder): корень, левое поддерево, правое поддерево. Левые указатели должны стать пустыми, правые образуют цепочку. Формат ввода задаётся отдельно. Формат вывода: ответом является один список; сначала выведите целое k — количество узлов, затем k значений в порядке получившегося списка.";Medium
77;Клонирование неориентированного графа;"Дан связный неориентированный граф, заданный вершинами и их списками соседей. Требуется создать глубокую копию графа: новая структура должна быть изолирована от исходной, но иметь такую же топологию (тот же набор вершин и рёбер). Формат ввода (описание графа и стартовой вершины) задаётся отдельно в системе тестирования. Формат вывода: ответом является граф в том же формате, что и на входе; при необходимости используйте стандартизованный вывод как набора списков вершин и их соседей — сначала целое m (число вершин), затем для каждой вершины на отдельной строке её описание в формате, указанном в системе тестирования.";Medium
78;Расписание курсов (Course Schedule);"Задано количество курсов numCourses и список зависимостей (a, b), означающих, что курс a можно пройти только после курса b. Необходимо определить, можно ли пройти все курсы (то есть граф зависимостей не содержит циклов). Формат ввода задаётся отдельно. Формат вывода: выведите YES, если все курсы можно пройти, и NO — если в графе есть цикл.";Medium
79;Заправки по кругу (Gas Station);"Есть n заправок по кругу. Для каждой заправки известны два значения: gas_i — сколько топлива можно получить, и cost_i — сколько топлива нужно для поездки до следующей заправки. Нужно определить индекс заправки, с которой можно стартовать с пустым баком и проехать весь круг, либо вывести -1, если это невозможно. Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите одно целое число — индекс начальной заправки (обычно 0-based) или -1.";Medium
80;Игра с прыжками (Jump Game);"Дана последовательность неотрицательных чисел a_i. Число a_i задаёт максимальную длину прыжка вперёд с позиции i. Находясь в позиции 0, требуется определить, можно ли добраться до последнего индекса (позиции n-1). Формат ввода задаётся отдельно в системе тестирования. Формат вывода: выведите YES, если можно добраться до последней позиции, и NO — иначе.";Medium
81;Разделение на два подмножества с равной суммой;"Дана последовательность из n положительных целых чисел. Требуется проверить, можно ли разбить все элементы на два подмножества так, чтобы суммы элементов в них были равны. Формат ввода задаётся отдельно. Формат вывода: выведите YES, если такое разбиение существует, и NO — иначе.";Medium
82;Комбинации с заданной суммой (Combination Sum);"Дан набор различных положительных целых чисел (кандидаты) и число target. Можно использовать каждый кандидат неограниченное число раз. Требуется найти все уникальные комбинации чисел, сумма которых равна target. Порядок чисел внутри комбинации не важен. Формат ввода задаётся отдельно. Формат вывода: ответом является набор списков; сначала выведите целое число m — количество комбинаций, затем для каждой комбинации на отдельной строке: k_i — длина комбинации и k_i чисел через пробел.";Medium
83;Все перестановки последовательности;"Дано n и последовательность из n попарно различных чисел. Требуется вывести все возможные перестановки этих чисел. Формат ввода задаётся отдельно. Формат вывода: ответом является набор списков; сначала выведите целое число m — количество перестановок (m = n!), затем для каждой перестановки на отдельной строке: её длину k_i = n и n чисел через пробел.";Medium
84;Все подмножества множества чисел;"Дано n и последовательность из n попарно различных чисел. Требуется вывести все подмножества данного множества, включая пустое и полное. Формат ввода задаётся отдельно. Формат вывода: ответом является набор списков; сначала выведите целое число m — количество подмножеств (m = 2^n), затем для каждого подмножества на отдельной строке: k_i — его размер и k_i элементов через пробел (в любом порядке).";Medium
85;Поиск слова в сетке букв;"Дана сетка букв и слово word. За один шаг можно переходить к соседней по стороне клетке. Одну и ту же клетку нельзя использовать более одного раза в одной попытке. Требуется определить, существует ли путь, формирующий слово word. Формат ввода задаётся отдельно. Формат вывода: выведите YES, если слово можно найти в сетке, и NO — иначе.";Medium
86;Поиск числа в отсортированной матрице;"Дана матрица размера m × n, в которой каждая строка отсортирована по возрастанию, а первый элемент каждой строки больше последнего элемента предыдущей строки. Также дано число target. Нужно определить, содержится ли target в матрице. Формат ввода задаётся отдельно. Формат вывода: выведите YES, если target присутствует в матрице, и NO — иначе.";Medium
87;Удаление n-го узла с конца списка;"Дан односвязный список и число k. Нужно удалить k-й узел с конца списка (если k = 1 — последний узел) и вернуть обновлённый список. Формат ввода (описание списка и k) задаётся отдельно. Формат вывода: ответом является один список; сначала выведите целое k_out — длину списка после удаления, затем k_out элементов списка через пробел.";Medium
